text,polarity,sentiment,final_sentiment
DeepSearch on Grok 3 is my X stalker now.,0.0,neutral,positive
"Grok 3s speeds unreal, but bugs killin me.",0.0,neutral,neutral
xAIs Grok 3 roasted my last X post. Savage.,0.0,neutral,positive
Grok 3s math flex got me geeking. xAI wins.,0.3,positive,positive
"Grok 3s voice mode better slap. xAI, dont flop.",0.5,positive,positive
xAIs Grok 3 crashed mid-X search. Pain.,0.0,neutral,negative
Grok 3s wits on point. xAIs AI got soul.,0.0,neutral,positive
Grok 3 coded my mess clean. xAIs a goat.,0.0958333333,neutral,positive
Grok 3s X game too strong. xAI owns this.,0.0166666667,neutral,positive
"Grok 3s hype real, but its buggy. xAI fix.",0.2,positive,negative
DeepSearch hit me with X facts. Grok 3 rules.,0.0,neutral,positive
Grok 3s reasonings deep. xAIs brain flex.,0.0,neutral,positive
xAIs Grok 3 got me hooked on its X tricks.,0.0,neutral,positive
"Grok 3 flopped my joke. xAI, work on funny.",0.25,positive,neutral
"Groks got edge over ChatGPT with X integration, but its still glitchy as hell.",0.0,neutral,positive
"Claude smokes Grok on reasoning, no contest, xAIs got work to do.",0.0,neutral,negative
"Groks DeepSearch is dope, beats Gemini for real-time X digs.",0.0,neutral,positive
"ChatGPTs smoother than Grok, but Groks sass is unmatched.",0.0,neutral,neutral
"Grok vs Claude? Claudes got depth, Groks just loud.",0.1,neutral,negative
"Groks faster than ChatGPT on X trends, but half the answers flop.",-0.1666666667,negative,negative
"Geminis cleaner than Grok, xAIs AI feels like beta still.",0.0,neutral,negative
"Groks humor kills ChatGPTs, but its dumber on facts.",0.0,neutral,neutral
"Claudes writing trumps Grok, xAIs bot too chaotic.",0.0,neutral,negative
"Groks X tie-in beats ChatGPTs stale data, hands down.",-0.3277777778,negative,positive
"Groks a meme next to ChatGPT, cant even code right.",0.1428571429,positive,negative
"Geminis got polish, Groks raw and messykinda love it.",0.1346153846,positive,positive
"Grok vs Claude: Claudes precise, Groks a wild card.",0.25,positive,positive
"ChatGPT owns Grok on structure, but Groks got soul.",0.0,neutral,neutral
"Groks DeepSearch shames Gemini, real-time game strong.",0.0166666667,neutral,positive
"Groks less woke than ChatGPT, but its sloppy af.",-0.2916666667,negative,negative
"Claudes reasoning laps Grok, xAI overhyped this one.",0.0,neutral,negative
Groks X edge over ChatGPT is clutch for news.,0.0,neutral,positive
"Geminis UI beats Groks, xAI needs to step up.",0.0,neutral,negative
"Groks sassier than Claude, but Claudes smarter.",0.0,neutral,neutral
ChatGPTs reliability crushes Groks random vibes.,-0.5,negative,negative
"Groks got potential, but Geminis already there.",0.0,neutral,neutral
"Grok vs Claude? Groks fun, Claudes functional.",0.3,positive,positive
ChatGPTs polish makes Grok look like a toy.,0.0,neutral,negative
Groks X hookup outshines Geminis web crawl.,0.0,neutral,positive
"Groks a mess next to Claude, but its got spirit.",-0.0875,neutral,negative
"ChatGPTs boring but works, Groks wild and breaks.",-0.45,negative,negative
Groks DeepSearch owns ChatGPT for X scoops.,0.0,neutral,positive
"Geminis smoother, Groks too rough around edges.",-0.1,neutral,negative
"Groks humor beats Claudes, but thats about it.",0.0,neutral,positive
ChatGPTs consistency kills Groks hit-or-miss.,0.0,neutral,negative
"Groks X advantage over Gemini is real, tho.",0.2,positive,positive
"Claudes depth buries Grok, xAIs just flexing.",0.0,neutral,negative
"Groks faster than ChatGPT, but less on point.",-0.1666666667,negative,neutral
"Geminis got Grok beat on clarity, no doubt.",0.0,neutral,negative
Groks X tie-in makes ChatGPT feel old-school.,0.0,neutral,positive
"Grok vs Claude: Claudes pro, Groks amateur.",-0.25,negative,negative
ChatGPTs safer bet than Groks chaos energy.,0.0,neutral,negative
Groks DeepSearch edges Gemini on X vibes.,0.0,neutral,positive
"Groks less stiff than ChatGPT, but dumber too.",-0.1904761905,negative,negative
Claudes logic outclasses Groks hot mess.,0.0375,neutral,negative
Groks X speed beats ChatGPTs slow crawl.,-0.3,negative,positive
Geminis refinement shows up Groks bugs.,0.0,neutral,negative
"Groks got flair, but Claudes got brains.",0.0,neutral,neutral
ChatGPTs polish wipes Groks sloppy tries.,-0.2583333333,negative,negative
Groks X link gives it legs over Gemini.,0.0,neutral,neutral
Groks a clown next to Claudes professor.,0.0,neutral,negative
"ChatGPTs tame, Groks unhinged pick your poison.",-0.2166666667,negative,negative
Groks DeepSearch tops Gemini for X juice.,0.0,neutral,positive
"Groks rawer than ChatGPT, but less sharp.",-0.1458333333,negative,negative
